description;date;time;duration_s;frequnecy;min;max;avg
balkon-24h-1h;22-11-2024;1:52:11;60;433920000;0.000635766;0.00217674;0.000969622
balkon-24h-1h;22-11-2024;1:53:26;60;433920000;0.000637445;0.00224495;0.000901351
balkon-24h-1h;22-11-2024;1:54:41;60;433920000;0.000627525;0.00349705;0.0010445
balkon-24h-1h;22-11-2024;1:55:56;60;433920000;0.000661111;0.0022903;0.000943917
balkon-24h-1h;22-11-2024;1:57:11;60;433920000;0.000662203;0.00218354;0.00093798
balkon-24h-1h;22-11-2024;1:58:26;60;433920000;0.000660525;0.00227662;0.000946577
balkon-24h-1h;22-11-2024;1:59:41;60;433920000;0.000664744;0.0022999;0.000945589
balkon-24h-1h;22-11-2024;2:0:56;60;433920000;0.000653845;0.00227884;0.000935372
balkon-24h-1h;22-11-2024;2:2:11;60;433920000;0.000646923;0.00454097;0.00101087
balkon-24h-1h;22-11-2024;2:3:26;60;433920000;0.000656812;0.00223222;0.000937678
balkon-24h-1h;22-11-2024;2:4:41;60;433920000;0.000662956;0.002272;0.000927744
balkon-24h-1h;22-11-2024;2:5:56;60;433920000;0.000662615;0.00242404;0.000971837
balkon-24h-1h;22-11-2024;2:7:11;60;433920000;0.000659815;0.00221452;0.000944997
balkon-24h-1h;22-11-2024;2:8:26;60;433920000;0.000660467;0.00224366;0.00093291
balkon-24h-1h;22-11-2024;2:9:41;60;433920000;0.000660072;0.00230297;0.000959796
balkon-24h-1h;22-11-2024;2:10:56;60;433920000;0.00065581;0.00225045;0.000946778
balkon-24h-1h;22-11-2024;2:12:11;60;433920000;0.000658515;0.00223195;0.000952869
balkon-24h-1h;22-11-2024;2:13:26;60;433920000;0.000614551;0.00232049;0.00090966
balkon-24h-1h;22-11-2024;2:14:41;60;433920000;0.000623356;0.00249298;0.00101704
balkon-24h-1h;22-11-2024;2:15:56;60;433920000;0.000602943;0.00204348;0.000860488
balkon-24h-1h;22-11-2024;2:17:11;60;433920000;0.00060515;0.00219286;0.000887492
balkon-24h-1h;22-11-2024;2:18:27;60;433920000;0.000599647;0.00236935;0.000956582
balkon-24h-1h;22-11-2024;2:19:42;60;433920000;0.000602296;0.00202395;0.000895112
balkon-24h-1h;22-11-2024;2:20:57;60;433920000;0.000614948;0.00230683;0.000970692
balkon-24h-1h;22-11-2024;2:22:12;60;433920000;0.000655501;0.00256259;0.000971907
balkon-24h-1h;22-11-2024;2:23:27;60;433920000;0.000666254;0.00243421;0.000965776
balkon-24h-1h;22-11-2024;2:24:42;60;433920000;0.00065632;0.00241204;0.000952954
balkon-24h-1h;22-11-2024;2:25:57;60;433920000;0.000651589;0.0024686;0.000935095
balkon-24h-1h;22-11-2024;2:27:12;60;433920000;0.000649997;0.00245215;0.000938676
balkon-24h-1h;22-11-2024;2:28:27;60;433920000;0.000637752;0.00241956;0.000894983
balkon-24h-1h;22-11-2024;2:29:42;60;433920000;0.000644663;0.00241982;0.000941314
balkon-24h-1h;22-11-2024;2:30:57;60;433920000;0.000633725;0.00265041;0.000934792
balkon-24h-1h;22-11-2024;2:32:12;60;433920000;0.000639098;0.00238647;0.000909862
balkon-24h-1h;22-11-2024;2:33:27;60;433920000;0.000645417;0.00239448;0.000921058
balkon-24h-1h;22-11-2024;2:34:42;60;433920000;0.000644497;0.00243144;0.000922401
balkon-24h-1h;22-11-2024;2:35:57;60;433920000;0.000646163;0.0024311;0.000930946
balkon-24h-1h;22-11-2024;2:37:12;60;433920000;0.000641391;0.0023978;0.000939965
balkon-24h-1h;22-11-2024;2:38:27;60;433920000;0.000648249;0.00238252;0.000930898
balkon-24h-1h;22-11-2024;2:39:42;60;433920000;0.000644412;0.00247942;0.000932947
balkon-24h-1h;22-11-2024;2:40:57;60;433920000;0.000630976;0.00239424;0.000918511
balkon-24h-1h;22-11-2024;2:42:12;60;433920000;0.000625588;0.00229696;0.000911072
balkon-24h-1h;22-11-2024;2:43:27;60;433920000;0.000629406;0.00240264;0.0009196
balkon-24h-1h;22-11-2024;2:44:42;60;433920000;0.000635724;0.00232941;0.000924113
balkon-24h-1h;22-11-2024;2:45:57;60;433920000;0.000640478;0.00234525;0.00091013
balkon-24h-1h;22-11-2024;2:47:12;60;433920000;0.00064499;0.00232079;0.000950645
balkon-24h-1h;22-11-2024;2:48:27;60;433920000;0.000642503;0.00247457;0.000942972
balkon-24h-1h;22-11-2024;2:49:42;60;433920000;0.000646912;0.00233476;0.00094381
balkon-24h-1h;22-11-2024;2:50:57;60;433920000;0.000608626;0.00243533;0.000908257
balkon-24h-1h;22-11-2024;2:52:12;60;433920000;0.000613134;0.00216269;0.000894802
balkon-24h-1h;22-11-2024;2:53:27;60;433920000;0.000623563;0.00223109;0.000896239
balkon-24h-1h;22-11-2024;2:54:42;60;433920000;0.000624598;0.00228004;0.0008966
balkon-24h-1h;22-11-2024;2:55:57;60;433920000;0.000618617;0.00218694;0.000884493
balkon-24h-1h;22-11-2024;2:57:12;60;433920000;0.000626502;0.00229293;0.000867098
balkon-24h-1h;22-11-2024;2:58:27;60;433920000;0.000621755;0.00235468;0.0008644
balkon-24h-1h;22-11-2024;2:59:42;60;433920000;0.000630247;0.00349717;0.000904324
balkon-24h-1h;22-11-2024;3:0:57;60;433920000;0.00061564;0.00227299;0.000886448
balkon-24h-1h;22-11-2024;3:2:12;60;433920000;0.000617669;0.00240762;0.00088349
balkon-24h-1h;22-11-2024;3:3:27;60;433920000;0.000630244;0.00220824;0.000886771
